ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,number_nuclei,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
772,7629,7669,4467,4500,40,33,764,0,764,1.0,0,7653.33,4486.88,7652.62,4486.15,779
773,9321,9377,4468,4568,56,100,3570,0,3570,1.0,0,9347.66,4519.89,9347.09,4519.31,780
774,8983,9108,4472,4604,125,132,10427,0,10427,1.0,0,9041.52,4533.93,9041.13,4533.58,781
775,1144,1832,4477,4936,688,459,186562,0,186562,1.0,0,1497.19,4695.33,1496.49,4694.85,782
776,5803,5887,4479,4545,84,66,3742,798,2944,0.7867450561197221,1,5849.15,4507.77,5848.43,4507.28,783
777,7496,7777,4488,4771,281,283,52573,0,52573,1.0,0,7624.32,4632.44,7623.94,4631.98,784
778,8906,9013,4489,4627,107,138,8606,0,8606,1.0,0,8957.05,4556.59,8956.46,4556.18,785
779,5764,5812,4490,4531,48,41,1384,0,1384,1.0,0,5787.07,4509.23,5786.64,4508.8,786
780,6033,6230,4506,4738,197,232,25264,722,24542,0.9714217859404687,1,6129.54,4624.44,6129.13,4623.85,787
781,3459,4118,4507,5089,659,582,209362,0,209362,1.0,0,3752.87,4818.81,3752.77,4818.16,788
782,5558,5723,4509,4624,165,115,14286,0,14286,1.0,0,5648.74,4567.47,5648.15,4566.99,789
783,5922,5960,4510,4564,38,54,1500,0,1500,1.0,0,5940.86,4536.38,5940.37,4535.91,790
784,9091,9166,4510,4573,75,63,2894,0,2894,1.0,0,9127.08,4543.16,9126.7,4542.52,791
785,5786,5847,4514,4572,61,58,2456,0,2456,1.0,0,5815.45,4546.53,5815.02,4545.91,794
786,7712,7894,4514,4689,182,175,19950,0,19950,1.0,0,7805.34,4596.31,7804.9,4595.93,792
787,9275,9323,4514,4555,48,41,1438,0,1438,1.0,0,9299.64,4535.53,9299.05,4535.05,793
788,9146,9223,4520,4607,77,87,4437,275,4162,0.9380211854856886,1,9184.99,4565.09,9184.47,4564.56,795
789,6185,6406,4525,4843,221,318,36675,4081,32594,0.8887252897068848,4,6296.06,4673.83,6295.68,4673.78,796
790,6873,7244,4527,4733,371,206,48005,0,48005,1.0,0,7054.67,4628.09,7054.3,4627.74,797
791,8213,8498,4528,4720,285,192,34467,0,34467,1.0,0,8365.0,4618.04,8364.44,4617.63,798
792,6437,6605,4529,4708,168,179,20616,0,20616,1.0,0,6510.67,4618.71,6510.31,4618.17,799
793,5844,5940,4535,4600,96,65,4252,0,4252,1.0,0,5895.54,4565.34,5894.89,4564.87,800
794,2989,3523,4538,5119,534,581,221891,0,221891,1.0,0,3271.18,4843.15,3270.74,4842.58,801
795,8859,8910,4538,4582,51,44,1520,0,1520,1.0,0,8885.4,4559.82,8884.86,4559.36,802
796,9220,9346,4546,4641,126,95,7362,0,7362,1.0,0,9290.55,4590.91,9289.9,4590.42,804
797,8409,8700,4547,4791,291,244,28867,0,28867,1.0,0,8547.78,4669.52,8547.33,4669.05,803
798,5777,5898,4563,4675,121,112,9108,4773,4335,0.4759552042160738,1,5839.24,4620.06,5838.75,4619.59,805
799,6698,6879,4563,4734,181,171,18989,0,18989,1.0,0,6787.61,4631.28,6787.02,4631.03,806
800,9097,9182,4564,4656,85,92,4891,0,4891,1.0,0,9142.4,4616.54,9141.71,4615.75,807
801,8831,8875,4570,4622,44,52,1757,977,780,0.443938531587934,0,8854.44,4595.18,8853.95,4594.71,808
802,8859,8919,4572,4667,60,95,3676,0,3676,1.0,0,8892.05,4622.22,8891.32,4621.56,810
803,9049,9122,4572,4642,73,70,2933,0,2933,1.0,0,9086.33,4601.46,9085.44,4601.37,809
804,6372,6443,4575,4667,71,92,4376,0,4376,1.0,0,6412.0,4615.56,6411.52,4615.24,811
805,11179,11746,4576,5219,567,643,174984,0,174984,1.0,0,11507.02,4916.72,11506.27,4916.1,812
806,10449,10710,4577,4961,261,384,61980,3597,58383,0.9419651500484028,1,10584.31,4767.6,10583.67,4767.0,813
807,8868,9062,4578,4744,194,166,12968,0,12968,1.0,0,8960.7,4656.02,8960.27,4655.62,814
808,6011,6049,4580,4641,38,61,1390,0,1390,1.0,0,6028.35,4612.88,6027.85,4612.17,815
809,7873,8108,4582,4881,235,299,44085,0,44085,1.0,0,7974.16,4709.05,7973.71,4708.74,816
810,2673,3046,4587,5134,373,547,137751,0,137751,1.0,0,2854.89,4868.94,2854.48,4868.29,817
811,6339,6386,4588,4689,47,101,2941,0,2941,1.0,0,6362.18,4641.0,6361.69,4640.36,818
812,8640,8801,4591,4779,161,188,17248,0,17248,1.0,0,8720.47,4685.08,8720.02,4684.38,819
813,9165,9281,4591,4673,116,82,5488,0,5488,1.0,0,9219.63,4634.73,9219.07,4634.33,820
814,5892,5948,4596,4645,56,49,2003,0,2003,1.0,0,5919.89,4621.1,5919.36,4620.56,821
815,5607,5747,4606,4699,140,93,7215,0,7215,1.0,0,5687.23,4649.46,5686.45,4648.82,823
816,3495,3594,4607,4675,99,68,3119,0,3119,1.0,0,3541.21,4640.1,3540.68,4639.76,822
817,6583,6755,4609,4747,172,138,15841,0,15841,1.0,0,6666.98,4677.63,6666.52,4677.19,824
818,9042,9110,4623,4688,68,65,2650,0,2650,1.0,0,9078.03,4656.05,9077.46,4655.46,825
819,8012,8257,4630,4831,245,201,29312,261,29051,0.9910957969432315,0,8155.43,4742.37,8154.73,4741.84,826
820,7254,7595,4633,4899,341,266,58548,0,58548,1.0,0,7419.99,4775.72,7419.55,4775.15,827
821,6366,6438,4634,4708,72,74,2707,0,2707,1.0,0,6401.31,4675.36,6400.75,4674.67,829
822,5965,6058,4636,4721,93,85,4406,0,4406,1.0,0,6013.39,4678.71,6012.91,4678.36,828
823,9227,9301,4636,4710,74,74,3180,77,3103,0.9757861635220125,0,9267.27,4674.73,9266.71,4674.08,831
824,5871,5966,4637,4711,95,74,4362,46,4316,0.9894543787253554,0,5916.53,4674.18,5916.12,4673.71,830
825,1339,2741,4638,5981,1402,1343,735658,504,735154,0.9993148990427617,1,2028.08,5217.45,2027.08,5217.57,832
826,8762,8845,4642,4760,83,118,5964,1,5963,0.999832327297116,0,8799.61,4696.78,8799.12,4696.41,833
827,9090,9196,4649,4763,106,114,7962,0,7962,1.0,0,9139.92,4708.64,9139.49,4708.15,834
828,6755,6975,4653,4873,220,220,31134,0,31134,1.0,0,6878.0,4762.31,6877.35,4761.78,835
829,9162,9246,4656,4740,84,84,3959,0,3959,1.0,0,9206.08,4697.87,9205.2,4697.06,836
830,8988,9047,4658,4703,59,45,1852,0,1852,1.0,0,9014.18,4678.15,9013.85,4677.68,837
831,5809,5872,4659,4718,63,59,1991,0,1991,1.0,0,5833.36,4685.41,5833.1,4684.99,838
832,6385,6667,4659,4870,282,211,37393,318,37075,0.9914957344957612,1,6531.12,4768.42,6530.41,4767.76,839
833,5701,5832,4661,4780,131,119,10287,0,10287,1.0,0,5766.1,4725.08,5765.64,4724.5,840
834,8837,8891,4664,4702,54,38,1266,0,1266,1.0,0,8862.61,4683.21,8862.33,4682.54,841
835,8544,8673,4667,4816,129,149,10872,0,10872,1.0,0,8615.51,4739.82,8615.03,4739.41,842
836,8243,8425,4669,4809,182,140,17759,25,17734,0.998592263077876,0,8321.72,4737.24,8321.43,4736.78,843
