ndimage_cellID,x0,x1,y0,y1,length,height,total_area,nuclei_area,cyto_area,c2t_area_ratio,orig_comX,orig_comY,ndimage_comX,ndimage_comY,orig_cellID
526,4863,4917,6304,6368,54,64,2666,0,2666,1.0,4890.17,6335.06,4889.67,6334.64,540
527,3654,3977,6306,6651,323,345,77378,0,77378,1.0,3815.91,6480.08,3815.33,6479.53,541
528,4276,4392,6306,6442,116,136,9912,223,9689,0.977502017756255,4340.54,6367.92,4340.02,6367.56,542
529,1795,1857,6318,6365,62,47,1962,0,1962,1.0,1825.5,6339.86,1825.11,6339.47,543
530,3505,3551,6318,6366,46,48,1280,0,1280,1.0,3530.36,6339.06,3529.68,6338.72,544
531,4979,5087,6318,6408,108,90,6841,886,5955,0.8704867709399211,5030.99,6358.55,5030.59,6358.07,545
532,3921,4145,6324,6529,224,205,27404,0,27404,1.0,4032.28,6431.67,4031.75,6431.16,546
533,2109,2173,6326,6417,64,91,3826,46,3780,0.9879769994772608,2140.37,6368.57,2139.95,6368.2,547
534,1850,1914,6327,6371,64,44,1708,0,1708,1.0,1887.32,6348.33,1886.64,6347.78,548
535,4387,4493,6332,6429,106,97,5528,0,5528,1.0,4430.95,6382.61,4430.83,6382.17,549
